toponym,offset
El Toboso,424
El Toboso,425
Armenia,426
England,427
El Toboso,428
Portugal,429
Castile,430
Seville,431
Trujillo,432
Estremadura,433
Hircania,434
Thrace,435
Cardenio,436
Hircania,437
Thrace,438
Florence,439
Italy,440
Tuscany,441
Lothario,442
Lothario,443
Lothario,444
Lothario,445
Chloris,446
Lothario,447
Micomicon,448
Cardenio,449
Florence,450
San Giovanni,451
Naples,452
Andalusia,453
Luscinda,454
Cardenio,455
Cardenio,456
Cardenio,457
Luscinda,458
Cardenio,459
Cardenio,460
Providence,461
Luscinda,462
Spain,463
Luscinda,464
Algiers,465
Neptune,466
La Mancha,467
Leon,468
Spain,469
Salamanca,470
Salamanca,471
Seville,472
Alicante,473
Alicante,474
Genoa,475
Milan,476
Piedmont,477
Alessandria,478
Guadalajara,479
Venice,480
Spain,481
Turk,482
Cyprus,483
Austria,484
Italy,485
Genoa,486
Naples,487
Christendom,488
Algiers,489
Constantinople,490
Grand Turk,491
Malta,492
Navarino,493
Christendom,494
Navarino,495
Santa Cruz,496
Constantinople,497
Tunis,498
Goletta,499
Tunis,500
Africa,501
Goletta,502
Goletta,503
Goletta,504
Spain,505
Constantinople,506
Tabarca,507
Andalusia,508
Goletta,509
Constantinople,510
Constantinople,511
Goletta,512
Constantinople,513
Algiers,514
Algiers,515
Constantinople,516
Spain,517
Algiers,518
Constantinople,519
Algiers,520
Murcia,521
Barbary,522
Spain,523
Babazon,524
Valencia,525
Majorca,526
Algiers,527
Tetuan,528
Majorca,529
Algiers,530
Valencia,531
Algiers,532
Shershel,533
Algiers,534
Oran,535
Barbary,536
Kingdom of Fez,537
Turk,538
Shershel,539
Constantinople,540
Morisco,541
Algiers,542
France,543
Spain,544
Spain,545
Morisco,546
Majorca,547
Majorca,548
Oran,549
Shershel,550
Algiers,551
Tetuan,552
Oran,553
Algiers,554
Spain,555
Spain,556
Spain,557
Straits of Gibraltar,558
Tetuan,559
Barbary,560
Velez Malaga,561
Algiers,562
Velez Malaga,563
Granada,564
Constantinople,565
Goletta,566
Constantinople,567
Algiers,568
Spain,569
France,570
Peru,571
Barbary,572
Seville,573
Seville,574
New Spain,575
Unblest,576
Madrid,577
Thessaly,578
Cardenio,579
Maritornes,580
Andalusia,581
Micomicon,582
La Mancha,583
LA MANCHA,584
Maritornes,585
Toledo,586
Persia,587
India,588
Ethiopia,589
Lombardy,590
Cato,591
Spain,592
Europe,593
Asia,594
Africa,595
America,596
Jerusalem,597
Spain,598
Spain,599
Spain,600
Amadises,601
Trebizond,602
Hircania,603
Rome,604
Carthage,605
Greece,606
Castile,607
Andalusia,608
Estremadura,609
Jerez,610
Toledo,611
Garcilaso,612
Seville,613
"La
Mancha",614
Greece,615
France,616
England,617
Great Britain,618
Pierres,619
Roncesvalles,620
Burgundy,621
Arras,622
Charny,623
Basle,624
Burgundy,625
San Polo,626
Germany,627
Austria,628
France,629
France,630
Santiago,631
Babieca,632
Vicente de la Roca,633
Italy,634
Morocco,635
Tunis,636
Naples,637
Arcadia,638
"La
Mancha",639
La Mancha,640
La Mancha,641
Saragossa,642
Dulcinea,643
Manchegan,644
LA MANCHA,645
LA MANCHA,646
ARGAMASILLA,647
La Mancha,648
Belianises,649
PANIAGUADO,650
ARGAMASILLA,651
La Mancha,652
ARGAMASILLA,653
LA MANCHA,654
Greece,655
La Mancha,656
