toponym,offset
America,467
America,468
States,469
States,470
Manhattan,471
Manhattan,472
Broadway,473
Manhattan,474
Orient,475
Brahma,476
Assyria,477
Great Sea,478
Polynesia,479
Altay,480
China,481
Malaysia,482
America,483
Asia,484
England,485
Asia,486
Alabama,487
Alabama,488
Paumanok,489
Paumanok,490
Paumanok,491
Paumanok,492
Chaff,493
Paumanok,494
Paumanok,495
Senegal,496
America,497
Jupiter,498
Jupiter,499
"Jupiter
  Longer",500
Boston,501
Boston,502
Boston,503
England,504
Boston,505
Europe,506
America,507
States,508
East,509
West,510
Manhattan,511
Manhattan,512
Manhattan,513
Mannahatta,514
Manhattan,515
Manhattan,516
Illinois,517
Indiana,518
Pennsylvania,519
Ohio,520
Tennessee,521
Cumberland,522
Chattanooga,523
Paumanok,524
Michigan,525
Wisconsin,526
Iowa,527
Minnesota,528
Ohio,529
Indiana,530
Missouri,531
Kansas,532
Arkansas,533
Tennessee,534
Kentucky,535
Carolinas,536
Georgia,537
Texas,538
California,539
Manhattan,540
Manhattan,541
Boston,542
Baltimore,543
Charleston,544
New Orleans,545
California,546
Mississippi,547
Illinois,548
Kansas,549
Missouri,550
Pacific,551
Manhattan,552
Cincinnati,553
Chicago,554
America,555
Virginia,556
Ohio,557
Indiana,558
Washington,559
Washington Park,560
Brooklyn,561
Virginia,562
Maryland,563
Brooklyn,564
Washington,565
Brooklyn,566
Washington,567
Virginia,568
Maryland,569
Brooklyn,570
Ohio,571
Ohio,572
Daybreak Gray,573
Virginia,574
Virginia,575
Virginia,576
States,577
America,578
Mississippi,579
Manhattan,580
Broadway,581
Manhattan,582
Manhattan,583
Manhattan,584
Columbia,585
Massachusetts,586
Maine,587
Carolina,588
Michigan,589
Florida,590
Bay,591
Ethiopia,592
Carolina,593
Ethiopia,594
Washington City,595
Washington City,596
South,597
Mississippi,598
South,599
Western sea,600
Manhattan,601
South,602
Ohio,603
Missouri,604
Blue Ontario,605
Ontario,606
America,607
Libertad,608
Missouri,609
Nebraska,610
Kansas,611
States,612
America,613
Asia,614
Europe,615
America,616
Mississippi,617
Columbia,618
Niagara,619
Hudson,620
Atlantic,621
Pacific,622
West,623
States,624
Manhattan,625
Republic,626
America,627
Ontario,628
States,629
States,630
America,631
States,632
Washington,633
America,634
Chicago,635
Arkansas,636
America,637
America,638
America,639
America,640
America,641
America,642
America,643
Ontario,644
Ontario,645
Ohio,646
California,647
Etc,648
Ohio,649
Colorado,650
Oregon,651
Texas,652
Niagara,653
Ottawa,654
Atlantica,655
West,656
America,657
Fecund America,658
America,659
West,660
Ohio,661
Illinois,662
Wisconsin,663
Missouri,664
Kentucky,665
Tennessee,666
Michigan,667
Mississippi,668
Alabama,669
Georgia,670
Carolinas,671
California,672
Pennsylvania,673
Middle States,674
Earth,675
States,676
States,677
Manhattan,678
Connecticut,679
Thames,680
Potomac,681
Washington,682
Mississippi,683
Jupiter,684
Mars,685
America,686
Manhattan,687
Missouri,688
France,689
France,690
France,691
France,692
Earth,693
France,694
Columbia,695
France,696
Camden,697
New Jersey,698
America,699
Destin,700
Dakota,701
Dakota,702
America,703
Orient,704
Victoria,705
France,706
Mecca,707
Ceres,708
China,709
Asia,710
Africa,711
Europe,712
Gloria,713
West,714
Italy,715
India,716
India,717
Asia,718
Africa,719
India,720
India,721
Pacific,722
Platte,723
Laramie,724
Europe,725
Asia,726
India,727
America,728
Asia,729
Venice,730
Adriatic,731
Europe,732
Asia,733
Africa,734
India,735
Caucasus,736
Ganges,737
America,738
China,739
Persia,740
Arabia,741
Bengal,742
Tamerlane,743
Aurungzebe,744
India,745
India,746
Jupiter,747
Europe,748
Brooklyn,749
Washington,750
Mediterranean,751
England,752
France,753
Spain,754
Broadway,755
Atlantic,756
Pacific,757
Mississippi,758
Africa,759
Asia,760
Earth,761
Chicago,762
Boston,763
Philadelphia,764
Mannahatta,765
Heavenly Death,766
America,767
Maine,768
Illinois,769
Virginia,770
Georgia,771
Tennessee,772
Texas,773
Florida,774
Saguenay,775
Huron,776
Yellowstone,777
Yosemite,778
New World,779
Earth,780
Asia,781
Europe,782
New World,783
West,784
East,785
America,786
Mississippi,787
Texas,788
Roanoke,789
Savannah,790
Altamahaw,791
Pedee,792
Tombigbee,793
Florida,794
Okeechobee,795
Georgia,796
Carolinas,797
Pamlico,798
Kentucky,799
Tennessee,800
Broadway,801
Norway,802
States,803
Chicago,804
Spain,805
Columbia,806
Virginia,807
Potomac,808
Far Dakota,809
Dakota,810
Sioux,811
Washington,812
Europe,813
Asia,814
West,815
Kansas,816
Missouri,817
Illinois,818
Ohio,819
Indiana,820
Platte Canyon,821
Colorado,822
America,823
Pacific,824
America,825
Europe,826
North,827
Virginia,828
Tennessee,829
North,830
America,831
Western States,832
How America,833
States,834
States,835
America,836
Indiana,837
Kentucky,838
Arkansas,839
Nebraska,840
Colorado,841
Nevada,842
Northern Pacific,843
Sitka,844
Aliaska,845
America,846
West,847
Mississippi,848
America,849
Mississippi,850
Eastern Sea,851
Western Sea,852
Chicago,853
America,854
States,855
America,856
States,857
Paumanok,858
Atlantic,859
America,860
"America

  Centre",861
Earth,862
Egypt,863
India,864
Greece,865
Rome,866
NAVESINK,867
St. Lawrence,868
Colorado,869
Yellowstone,870
Oregon,871
Mississippi,872
America,873
Texas,874
Maine,875
Prairie States,876
Vermont,877
Virginia,878
California,879
East,880
West,881
Rome,882
Washington,883
Washington,884
Thou,885
Washington,886
America,887
Europe,888
Old Asia,889
Shakespere,890
United States,891
Earth,892
Washington,893
Florida,894
America,895
Florida,896
Columbia,897
Mannahatta,898
Paumanok,899
America,900
Paris,901
France,902
America,903
America,904
Ethiopia,905
Roncesvalles,906
Shakespere,907
America,908
North,909
South,910
East,911
West,912
Maine,913
New-England,914
Pennsylvania,915
Illinois,916
Ohio,917
Virginia,918
South,919
Carolinas,920
Texas,921
America,922
America,923
East,924
Vaunted Ionia,925
India,926
United States,927
United States,928
United States,929
United States,930
United States,931
United States,932
"United
States",933
United States,934
Mississippi,935
U.S.,936
"Melan Dr. S.
Fairbanks",937
Salt Lake City,938
UT,939
"United
States",940
United States,941
U.S.,942
U.S.,943
