toponym,offset
Rangoon,449
Saville Row,450
Hong Kong,451
Yokohama,452
Hong Kong,453
Bombay,454
China,455
America,456
America,457
Europe,458
Hong Kong,459
Neptune,460
Aouda,461
Rangoon,462
Rangoon,463
"Hong
Kong",464
Yokohama,465
Rangoon,466
Hong Kong,467
Rangoon,468
Yokohama,469
Rangoon,470
Hong Kong,471
Yokohama,472
Hong Kong,473
Yokohama,474
Hong Kong,475
Rangoon,476
Japan,477
Pacific,478
Yokohama,479
San Francisco,480
Hong Kong,481
Yokohama,482
Yokohama,483
Pacific,484
London,485
Hong Kong,486
China,487
Europe,488
Holland,489
Hong Kong,490
Holland,491
Europe,492
Hong Kong,493
Nankin,494
Canton River,495
Macao,496
Hong Kong,497
Macao,498
Hong Kong,499
Kent,500
Surrey,501
Victoria,502
Hong Kong,503
Bombay,504
Calcutta,505
Singapore,506
Victoria,507
Hong Kong,508
America,509
Hong Kong,510
Hong Kong,511
London,512
Aouda,513
London,514
Hong Kong,515
Yokohama,516
Aouda,517
Rangoon,518
Hong Kong,519
Hong Kong,520
Hong Kong,521
Yokohama,522
Macao,523
Yokohama,524
Yokohama,525
San Francisco,526
Yokohama,527
Aouda,528
Yokohama,529
Hong Kong,530
Nagasaki,531
Japan,532
Shanghai,533
Shanghai,534
Yokohama,535
Shanghai,536
Nagasaki,537
San Francisco,538
Yokohama,539
Yokohama,540
Nagasaki,541
Shanghai,542
Shanghai,543
Shanghai,544
Hong Kong,545
Aouda,546
Tankadere,547
Yokohama,548
Shanghai,549
"Hong
Kong",550
Tankadere,551
Yokohama,552
San Francisco,553
America,554
England,555
United States,556
United States,557
Yokohama,558
Aouda,559
Shanghai,560
Hong Kong,561
Yokohama,562
London,563
Straits of Fo-Kien,564
Formosa,565
Shanghai,566
Shanghai,567
Shanghai,568
Shanghai,569
Yokohama,570
Tankadere,571
Shanghai,572
Shanghai River,573
Shanghai,574
Shanghai,575
Yokohama,576
Hong Kong,577
Japan,578
China,579
England,580
London,581
Yokohama,582
Hong Kong,583
Japan,584
Japan,585
Yokohama,586
Pacific,587
North America,588
China,589
Japan,590
Yeddo,591
Yokohama,592
Hong Kong,593
Calcutta,594
Yokohama,595
Yeddo,596
Yokohama,597
Japan,598
China,599
Japan,600
Japan,601
Yokohama,602
Europe,603
America,604
San Francisco,605
Pacific,606
Japan,607
United States,608
Pacific,609
Paris,610
France,611
San Francisco,612
Europe,613
Aouda,614
Aouda,615
PACIFIC,616
Shanghai,617
Yokohama,618
Nagasaki,619
Yokohama,620
San Francisco,621
Hong Kong,622
Shanghai,623
Hong Kong,624
Yokohama,625
San Francisco,626
San Francisco,627
New York,628
London,629
California,630
Pacific,631
Japan,632
China,633
San Francisco,634
New York,635
New York,636
Liverpool,637
Yokohama,638
London,639
London,640
Aden,641
Aden,642
Bombay,643
Calcutta,644
Singapore,645
Singapore,646
Yokohama,647
London,648
London,649
London,650
Yokohama,651
Bombay,652
England,653
Atlantic,654
Bombay,655
Hong Kong,656
Yokohama,657
England,658
England,659
Golden Gate,660
San Francisco,661
SAN FRANCISCO,662
Aouda,663
Sacramento,664
Mexico,665
Chili,666
Peru,667
Brazil,668
Europe,669
Asia,670
Pacific,671
New York,672
San Francisco,673
City Hall,674
Montgomery Street,675
San Francisco,676
London,677
Boulevard des Italiens,678
Paris,679
Broadway,680
New York,681
International Hotel,682
England,683
Aouda,684
Enfield,685
Sioux,686
Pacific,687
Europe,688
San Francisco,689
Montgomery Street,690
Montgomery Street,691
Alabama,692
London,693
England,694
Aouda,695
Camerfield,696
Mandiboy,697
"International
Hotel",698
America,699
San Francisco,700
PACIFIC,701
United States,702
Pacific Railroad,703
Central Pacific,704
San Francisco,705
Omaha,706
Omaha,707
New York,708
New York,709
San Francisco,710
Omaha,711
Pacific,712
Illinois,713
New York,714
San Francisco,715
Omaha,716
Nebraska,717
Pacific Railroad,718
Iowa,719
Kansas,720
Colorado,721
Oregon,722
Omaha,723
Platte River,724
Laramie,725
Wahsatch Mountains,726
Great Salt Lake,727
"Salt Lake
City",728
Tuilla Valley,729
Humboldt Mountains,730
Sierra Nevada,731
Sacramento,732
Pacific,733
"Rocky
Mountains",734
Atlantic,735
New York,736
Oakland,737
Omaha,738
California,739
San Francisco,740
Sacramento,741
Central Pacific,742
Sacramento,743
Omaha,744
San Francisco,745
Sacramento,746
"American
River",747
San Pablo Bay,748
Sacramento,749
Sacramento,750
Roclin,751
Colfax,752
Sierra Nevada,753
Nevada,754
Carson Valley,755
Humboldt River,756
Humboldt Range,757
Nevada,758
Humboldt Range,759
Utah,760
Great Salt Lake,761
Great Salt Lake,762
