toponym,offset
Sokolnitz,441
Kobelnitz,442
Schlappanitz,443
Thuerassa,444
Langeron,445
Toulon,446
Moscow,447
Tverskaya Street,448
Hollabrunn,449
England,450
France,451
Moscow,452
Goldbach Stream,453
Pratzen Heights,454
Schlappanitz,455
Sokolnitz,456
Schlappanitz,457
Pratzen Heights,458
Pratzen,459
Pratzen,460
Pratzen Heights,461
Pratzen Heights,462
Langeron,463
Pratzen,464
Toulon,465
Arcola,466
Pratzen,467
Olmutz,468
Novosíltsev,469
Russia,470
Kutúzov,471
Pratzen,472
Pratzen Heights,473
Pratzen,474
Pratzen Heights,475
Petersburg,476
Hosjeradek,477
Pratzen,478
Hosjeradek,479
Augesd,480
Pratzen Heights,481
Augesd Dam,482
Pratzen Heights,483
Bolkónski,484
Petersburg,485
Larrey,486
Bald Hills,487
Larrey,488
Voronezh,489
Moscow,490
Moscow,491
Moscow,492
Moscow,493
Moscow,494
Pétya,495
Sónya,496
Pétya,497
Pétya,498
Sónya,499
Sónya,500
Moscow,501
Nikolenka,502
Moscow,503
Moscow,504
St. George,505
Moscow,506
Moscow,507
Moscow,508
Sónya,509
Sónya,510
Moscow,511
Moscow,512
Moscow,513
Borís,514
Petersburg,515
Prince Bagration,516
Austerlitz,517
Moscow,518
Moscow,519
Austerlitz,520
Moscow,521
Moscow,522
Austerlitz,523
Petersburg,524
Moscow,525
Bekleshev,526
Moscow,527
Schon Grabern,528
Bekleshev,529
Apráksin,530
Moscow,531
Petersburg,532
Moscow,533
Sokolniki,534
Rostóv,535
Kostroma,536
Sokolniki,537
Dólokhov,538
Moscow,539
Moscow,540
Moscow,541
Petersburg,542
Moscow,543
Petersburg,544
Petersburg,545
Moscow,546
Great Russia,547
Petersburg,548
Austerlitz,549
Bald Hills,550
Austerlitz,551
Kutúzov,552
Russia,553
Austria,554
Moscow,555
Bald Hills,556
Moscow,557
Moscow,558
Moscow,559
Kishenev,560
Moscow,561
Moscow,562
Petersburg,563
Moscow,564
Moscow,565
Dólokhov,566
Sónya,567
Sónya,568
Sónya,569
Sónya,570
Moscow,571
Moscow,572
Sónya,573
Sónya,574
Sónya,575
Moscow,576
Sónya,577
Poland,578
Poland,579
Rostóv,580
Sónya,581
Pétya,582
Sónya,583
Povarskáya,584
Moscow,585
Moscow,586
Rostóv,587
Natásha,588
Moscow,589
Moscow,590
Moscow,591
Poland,592
Petersburg,593
Torzhok,594
Petersburg,595
Sokolniki,596
Bezúkhov,597
Moscow,598
Mason,599
Petersburg,600
Petersburg,601
Petersburg,602
Lodge,603
Petersburg,604
Lodge,605
Petersburg,606
Moscow,607
Moscow,608
Kiev,609
Russia,610
Petersburg,611
Petersburg,612
Petersburg,613
Auerstadt,614
Prussia,615
Vienna,616
Prussia,617
Austria,618
Copenhagen,619
Prussia,620
Olmutz,621
Petersburg,622
Moscow,623
Vienna,624
Vienna,625
Vienna,626
Austria,627
Austria,628
Europe,629
Prussia,630
Prussia,631
Potsdam,632
Vienna,633
Roi de Prusse,634
Petersburg,635
Russia,636
Bald Hills,637
Italy,638
Bogucharovo,639
Bald Hills,640
Bald Hills,641
Bogucharovo,642
Bald Hills,643
Eylau,644
Petersburg,645
Korchevo,646
Preussisch-Eylau,647
Petenka,648
Korchevo,649
Bilibin,650
Korchevo,651
"Preussisch-
Eylau",652
Potsdam,653
Prussia,654
Glogau,655
Prussia,656
Prussia,657
Petersburg,658
Pultusk,659
Prussia,660
Ostrolenka,661
Russia,662
Pultusk,663
Pultusk,664
Petersburg,665
Petersburg,666
Buxhowden,667
Pultusk,668
Petersburg,669
Buxhowden,670
Kiev,671
Kiev,672
Land Bank,673
Moscow,674
Kostroma,675
Lodge,676
Petersburg,677
Petersburg,678
Vienna,679
Petersburg,680
Land Bank,681
South Russia,682
Petersburg,683
Petersburg,684
Kiev,685
Moscow,686
Smolensk,687
Bald Hills,688
"Third
District",689
Yukhnovna,690
Siberia,691
Siberia,692
Siberia,693
Bald Hills,694
Bald Hills,695
Ivanushka,696
Kiev,697
Kolyazin,698
Pelageya,699
Yukhnovo,700
Kolyazin,701
Kiev,702
Kolyazin,703
Kiev,704
Kiev,705
Bald Hills,706
Moscow,707
Sónya,708
Pultusk,709
Preussisch-Eylau,710
Bartenstein,711
Russia,712
Pultusk,713
Preussisch-Eylau,714
Rostóv,715
Lavrushka,716
Rostóv,717
Rostóv,718
Rostóv,719
Uhlan,720
Niemen,721
Borís,722
Paris,723
Borís,724
Rostóv,725
Borís,726
Austerlitz,727
Rostóv,728
France,729
Erfurt,730
Petersburg,731
Austria,732
Austria,733
Russia,734
Bald Hills,735
Petersburg,736
Ryazan,737
Ryazan,738
Otradnoe,739
Ryazan,740
Otradnoe,741
Natásha,742
moon,743
Petersburg,744
Petersburg,745
Ryazan,746
Petersburg,747
Russia,748
Kochubey,749
Petersburg,750
Petersburg,751
Speranski,752
Petersburg,753
Count Kochubey,754
Kochubey,755
Erfurt,756
Russia,757
Bolkónski,758
Montesquieu,759
Petersburg,760
Kochubey,761
Speranski,762
Russia,763
Speranski,764
Speranski,765
Speranski,766
Petersburg,767
Petersburg,768
Petersburg,769
Petersburg,770
Moscow,771
Petersburg,772
Russia,773
Petersburg Brothers,774
Illuminism,775
Petersburg,776
Moscow,777
Moscow,778
Jerusalem,779
Petersburg,780
Great Square,781
Caulaincourt,782
Petersburg,783
Erfurt,784
Erfurt,785
Petersburg,786
Erfurt,787
Elohim,788
Moscow,789
Moscow,790
Otradnoe,791
Petersburg,792
Véra,793
Moscow,794
Petersburg,795
Petersburg,796
Moscow,797
Petersburg,798
Moscow,799
Otradnoe,800
Petersburg,801
Petersburg,802
Petersburg,803
Moscow,804
Petersburg,805
Petersburg,806
Ryazan,807
Borís,808
Moscow,809
Moscow,810
Otradnoe,811
Petersburg,812
Petersburg,813
Moscow,814
Moscow,815
Rostóvs,816
Petersburg,817
Taurida Gardens,818
Sónya,819
Taurida Gardens,820
Sónya,821
Sónya,822
Natásha,823
Taurida Gardens,824
Petersburg,825
Sónya,826
Peronskaya,827
Queen of Petersburg,828
Sónya,829
Natásha,830
Petersburg,831
Speranski,832
Petersburg,833
Taurida Gardens,834
Speranski,835
Petersburg,836
Petersburg,837
Ryazan,838
Petersburg,839
Natásha,840
Natásha,841
England,842
Switzerland,843
Italy,844
Moscow,845
Austria,846
Natásha,847
Natásha,848
Moscow,849
Spain,850
Natásha,851
Natásha,852
Otradnoe,853
Petersburg,854
Petersburg,855
Natásha,856
Natásha,857
Otradnoe,858
Petersburg,859
Petersburg,860
Sónya,861
Bald Hills,862
Petersburg,863
Turkey,864
Moscow,865
Europe,866
Bald Hills,867
France,868
Moscow,869
Petersburg,870
Petersburg,871
Petersburg,872
Moscow,873
Switzerland,874
Russia,875
Moscow,876
Mitenka,877
Mars,878
Kremenchug,879
Kiev,880
Otradnoe,881
Mitenka,882
Mitenka,883
Otradnoe,884
Otradnoe,885
Mitenka,886
Mitenka,887
Uvarka,888
Pétya,889
Viflyanka,890
Korniki,891
Pétya,892
Viflyanka,893
Bordeaux,894
Mass,895
Karay,896
Karay,897
Voltorn,898
Ilagin,899
Pétya,900
Ilagin,901
Natásha,902
Ilagin,903
Natásha,904
Erza,905
Mikháylovna,906
Pétya,907
Otradnoe,908
Rugay,909
Mitka,910
Mitka,911
Anisya Fëdorovna,912
Natásha,913
Anisya,914
Pétya,915
Otradnoe,916
Fairyland,917
Moscow,918
Otradnoe,919
Moscow,920
Moscow,921
Moscow,922
Moscow,923
Sónya,924
Rome,925
Russia,926
Sónya,927
Natásha,928
Moscow,929
Odessa,930
Madagascar,931
Madagascar,932
Petersburg,933
Sónya,934
Sónya,935
Pétya,936
Natásha,937
Sónya,938
Mitenka,939
Pétya,940
Rostóvs,941
Sónya,942
Sónya,943
Sónya,944
Demkin,945
Melyukovka,946
Miss,947
Sónya,948
Sónya,949
Sónya,950
Sónya,951
Sónya,952
Sónya,953
Moscow,954
Moscow,955
Moscow,956
Moscow,957
Moscow,958
Natásha,959
Moscow,960
Moscow,961
Kremlin Square,962
Moscow,963
Moscow,964
Moscow,965
Moscow,966
Moscow,967
Moscow,968
Russia,969
Moscow,970
Moscow,971
Moscow,972
Astraea Lodge,973
Moscow,974
Moscow,975
Moscow,976
Moscow,977
Moscow,978
Bald Hills,979
Moscow,980
Moscow,981
Moscow,982
Moscow,983
Bourienne,984
Moscow,985
